job,marital,education,default,housing,loan,y
management,divorced,university.degree,no,yes,no,no
blue-collar,married,high.school,unknown,no,yes,no
services,married,high.school,unknown,no,no,no
technician,married,university.degree,no,yes,yes,no
admin.,single,university.degree,unknown,no,no,no
services,married,high.school,no,no,no,no
management,married,basic.9y,no,no,no,no
services,married,high.school,no,yes,yes,no
admin.,single,basic.6y,no,no,no,no
services,married,high.school,no,yes,no,no
blue-collar,married,basic.9y,no,no,no,no
technician,married,high.school,no,no,no,no
blue-collar,married,basic.6y,unknown,yes,no,no
blue-collar,married,basic.9y,no,yes,yes,yes
admin.,married,university.degree,no,yes,no,no
blue-collar,married,basic.4y,unknown,no,no,no
management,married,university.degree,no,no,no,no
technician,married,basic.6y,unknown,no,no,no
retired,married,high.school,unknown,no,no,no
blue-collar,married,basic.4y,unknown,no,no,no
admin.,married,university.degree,no,yes,no,no
technician,married,professional.course,no,no,no,no
blue-collar,single,basic.9y,no,yes,no,no
management,divorced,university.degree,no,no,no,no
technician,married,university.degree,no,no,no,no
blue-collar,single,basic.9y,unknown,yes,no,no
blue-collar,married,basic.4y,no,yes,no,no
admin.,married,high.school,unknown,yes,no,no
blue-collar,single,basic.9y,unknown,no,no,no
admin.,married,basic.9y,unknown,yes,no,no
blue-collar,married,basic.6y,no,yes,no,no
services,married,high.school,no,no,no,no
services,single,basic.6y,no,no,no,no
blue-collar,married,high.school,no,yes,no,no
admin.,married,unknown,no,no,no,no
blue-collar,married,basic.9y,no,yes,no,no
student,single,university.degree,unknown,no,no,no
student,single,university.degree,unknown,yes,yes,no
unemployed,married,professional.course,no,no,no,no
services,single,basic.4y,no,no,no,no
student,single,university.degree,unknown,yes,no,no
student,single,basic.9y,no,yes,no,no
housemaid,divorced,university.degree,no,no,no,no
admin.,married,university.degree,no,no,no,no
retired,married,unknown,unknown,no,no,no
blue-collar,married,professional.course,unknown,yes,no,no
housemaid,married,basic.4y,unknown,yes,no,no
blue-collar,single,unknown,no,yes,no,no
blue-collar,single,unknown,no,yes,yes,no
housemaid,married,basic.4y,unknown,no,no,no
services,married,high.school,no,no,no,no
admin.,married,high.school,no,yes,no,no
technician,married,unknown,unknown,no,no,no
services,single,basic.6y,unknown,yes,no,no
technician,married,basic.4y,unknown,yes,no,no
technician,married,basic.9y,no,no,no,no
retired,married,university.degree,no,no,no,no
technician,married,university.degree,no,no,no,no
admin.,single,university.degree,no,no,no,no
retired,married,basic.4y,unknown,no,no,no
blue-collar,married,basic.4y,no,yes,yes,no
admin.,married,professional.course,no,yes,no,no
services,divorced,professional.course,no,yes,no,no
management,divorced,basic.4y,unknown,yes,no,no
admin.,married,high.school,unknown,no,no,no
self-employed,married,university.degree,unknown,no,no,no
admin.,married,professional.course,no,yes,no,no
blue-collar,married,basic.4y,no,no,no,no
admin.,married,high.school,no,no,no,no
services,married,high.school,unknown,no,yes,no
management,married,university.degree,unknown,no,yes,no
retired,married,high.school,no,no,no,no
technician,single,professional.course,no,no,no,no
management,married,university.degree,no,yes,no,no
services,single,basic.9y,no,no,no,no
technician,married,university.degree,unknown,no,no,no
services,divorced,unknown,no,no,no,no
technician,single,professional.course,no,no,no,no
technician,single,high.school,no,yes,no,no
blue-collar,single,high.school,no,no,yes,no
services,single,high.school,no,no,no,no
technician,divorced,professional.course,no,no,no,no
blue-collar,married,basic.4y,no,yes,no,no
services,married,basic.6y,no,yes,no,no
technician,married,professional.course,no,yes,no,no
services,married,unknown,no,no,no,no
services,married,high.school,no,yes,yes,no
blue-collar,married,basic.9y,unknown,yes,no,no
management,married,basic.9y,no,no,yes,no
technician,married,unknown,no,yes,no,no
admin.,married,high.school,no,no,yes,no
admin.,married,high.school,no,no,yes,no
blue-collar,single,basic.6y,no,unknown,unknown,no
technician,married,high.school,no,no,no,no
admin.,divorced,basic.9y,no,no,no,no
admin.,married,university.degree,no,no,no,no
blue-collar,single,basic.6y,no,no,no,no
self-employed,single,university.degree,no,yes,no,no
student,single,university.degree,unknown,no,no,no
management,divorced,university.degree,no,no,no,no
self-employed,married,basic.4y,unknown,no,no,no
unemployed,married,high.school,unknown,yes,no,no
management,divorced,university.degree,no,no,no,no
housemaid,married,basic.9y,unknown,no,no,no
admin.,single,high.school,no,no,no,no
housemaid,single,high.school,unknown,yes,yes,no
blue-collar,married,basic.9y,unknown,no,no,no
services,married,high.school,no,no,no,no
blue-collar,married,basic.4y,unknown,no,no,no
technician,single,basic.9y,no,no,no,no
retired,married,professional.course,no,no,no,no
blue-collar,married,basic.6y,no,no,no,no
technician,married,basic.4y,no,yes,no,no
admin.,married,basic.9y,no,no,no,no
blue-collar,married,basic.9y,no,yes,no,no
blue-collar,divorced,basic.9y,no,yes,no,no
blue-collar,divorced,basic.6y,no,no,no,no
housemaid,married,basic.9y,no,yes,no,yes
admin.,single,high.school,no,yes,yes,no
blue-collar,married,unknown,unknown,yes,no,no
services,married,high.school,no,no,no,no
management,divorced,university.degree,no,yes,no,no
admin.,married,high.school,no,yes,yes,no
technician,divorced,professional.course,unknown,no,yes,no
blue-collar,married,basic.4y,no,yes,no,no
technician,single,professional.course,no,yes,no,no
self-employed,married,professional.course,no,no,no,no
blue-collar,divorced,high.school,no,no,yes,no
admin.,married,university.degree,no,yes,no,no
services,divorced,high.school,no,no,no,no
unknown,married,unknown,unknown,no,no,no
services,single,high.school,unknown,no,no,no
blue-collar,divorced,high.school,unknown,no,yes,no
retired,married,professional.course,unknown,no,no,no
unknown,married,unknown,no,yes,no,no
admin.,married,high.school,no,yes,no,no
admin.,married,basic.6y,unknown,yes,no,no
blue-collar,married,unknown,unknown,no,no,no
housemaid,divorced,basic.4y,no,yes,yes,no
admin.,married,university.degree,no,yes,no,no
blue-collar,married,basic.4y,no,yes,no,no
management,divorced,university.degree,no,yes,no,no
admin.,single,university.degree,no,no,no,no
admin.,married,high.school,no,no,no,no
blue-collar,married,professional.course,unknown,yes,no,no
management,married,university.degree,unknown,yes,no,no
admin.,single,basic.9y,unknown,no,no,no
admin.,divorced,high.school,no,no,no,no
retired,married,basic.6y,no,no,no,no
blue-collar,married,basic.9y,no,no,no,no
services,married,high.school,no,yes,no,no
management,single,basic.9y,no,yes,no,no
admin.,single,basic.6y,no,yes,yes,no
technician,single,unknown,no,no,no,no
services,married,basic.6y,unknown,no,no,no
technician,married,professional.course,no,yes,yes,no
housemaid,single,professional.course,no,no,no,no
admin.,single,university.degree,no,yes,no,no
admin.,married,high.school,no,no,no,no
blue-collar,married,basic.9y,unknown,no,no,no
admin.,married,high.school,no,no,no,no
services,single,high.school,no,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
management,married,high.school,no,yes,no,no
self-employed,single,university.degree,no,no,yes,no
services,married,high.school,unknown,yes,no,no
entrepreneur,married,high.school,no,yes,no,no
technician,single,professional.course,unknown,yes,no,no
blue-collar,single,high.school,no,yes,yes,no
blue-collar,married,basic.9y,unknown,yes,no,no
management,married,university.degree,unknown,no,no,no
management,married,professional.course,unknown,yes,no,no
services,single,high.school,no,yes,no,no
admin.,married,basic.9y,no,no,no,no
unknown,married,unknown,unknown,yes,no,no
blue-collar,divorced,basic.4y,no,yes,no,no
technician,married,high.school,no,yes,no,no
services,divorced,professional.course,no,no,no,no
blue-collar,single,basic.9y,unknown,yes,no,no
entrepreneur,married,university.degree,no,yes,no,no
blue-collar,married,basic.4y,no,no,no,no
blue-collar,married,basic.6y,unknown,no,no,no
technician,married,professional.course,no,no,no,no
management,married,university.degree,no,no,no,no
services,married,high.school,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
unemployed,single,university.degree,no,no,no,no
blue-collar,single,high.school,no,no,no,no
blue-collar,married,basic.9y,no,no,no,no
services,married,basic.4y,no,no,no,no
entrepreneur,married,basic.4y,no,yes,no,no
unemployed,divorced,high.school,unknown,no,no,no
management,married,university.degree,no,yes,no,no
technician,married,high.school,no,yes,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
admin.,married,university.degree,no,yes,no,no
technician,married,university.degree,no,no,no,no
self-employed,married,high.school,no,yes,no,no
admin.,divorced,basic.9y,no,no,no,no
blue-collar,married,basic.9y,unknown,yes,no,no
management,divorced,high.school,no,no,no,no
blue-collar,married,basic.9y,no,no,no,no
blue-collar,married,basic.9y,no,no,yes,no
admin.,single,high.school,no,yes,no,no
blue-collar,single,basic.9y,no,yes,no,no
services,married,high.school,no,no,no,no
blue-collar,married,unknown,no,no,no,no
technician,married,basic.6y,no,yes,no,no
admin.,single,university.degree,no,no,no,no
admin.,married,basic.9y,no,no,no,no
admin.,married,university.degree,no,yes,yes,no
blue-collar,single,unknown,no,no,no,no
admin.,married,basic.9y,no,yes,no,no
management,single,university.degree,no,no,no,no
student,single,unknown,unknown,no,no,no
management,married,basic.4y,unknown,yes,yes,no
management,married,basic.4y,unknown,unknown,unknown,no
self-employed,married,university.degree,no,no,no,no
housemaid,married,basic.6y,unknown,yes,yes,no
unknown,single,unknown,unknown,yes,yes,yes
services,married,high.school,no,yes,no,yes
retired,unknown,university.degree,unknown,no,no,no
management,married,high.school,unknown,no,no,no
admin.,married,university.degree,no,no,no,no
admin.,married,high.school,no,no,no,no
admin.,married,basic.9y,no,no,no,no
technician,married,professional.course,no,no,no,no
services,married,high.school,unknown,no,no,no
blue-collar,divorced,basic.4y,no,no,no,no
self-employed,married,university.degree,no,yes,yes,no
blue-collar,married,basic.9y,unknown,no,no,no
services,single,high.school,no,no,no,no
services,married,high.school,unknown,unknown,unknown,no
blue-collar,married,high.school,unknown,yes,no,no
unemployed,married,university.degree,unknown,yes,no,no
blue-collar,married,basic.4y,unknown,no,no,no
entrepreneur,married,university.degree,no,yes,no,no
services,divorced,basic.6y,no,no,no,no
admin.,married,high.school,no,yes,no,no
services,married,high.school,no,no,yes,no
blue-collar,married,basic.9y,unknown,yes,no,no
admin.,married,high.school,no,no,no,no
technician,married,basic.4y,no,no,yes,no
blue-collar,married,basic.9y,no,no,no,no
retired,unknown,basic.4y,no,no,no,no
entrepreneur,married,basic.4y,unknown,yes,no,no
blue-collar,married,basic.4y,unknown,yes,yes,no
self-employed,single,basic.9y,unknown,yes,yes,no
admin.,married,high.school,unknown,no,no,no
services,married,high.school,no,yes,no,no
technician,single,university.degree,no,yes,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
entrepreneur,married,basic.4y,no,no,no,no
blue-collar,married,basic.4y,unknown,no,no,no
management,married,university.degree,unknown,no,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
blue-collar,married,basic.9y,no,no,no,no
management,married,basic.6y,no,no,no,no
technician,married,professional.course,no,yes,no,no
unknown,married,unknown,unknown,yes,no,no
services,married,high.school,unknown,no,no,no
self-employed,divorced,university.degree,no,no,no,no
self-employed,married,basic.9y,unknown,no,no,no
self-employed,single,university.degree,no,yes,no,no
services,single,professional.course,no,yes,yes,no
services,married,unknown,unknown,no,no,no
technician,married,professional.course,no,yes,no,no
housemaid,married,basic.9y,no,yes,no,no
blue-collar,married,professional.course,no,no,no,no
admin.,divorced,university.degree,no,no,no,no
management,married,unknown,no,yes,no,no
technician,married,professional.course,unknown,no,yes,no
housemaid,married,university.degree,no,no,no,no
blue-collar,divorced,basic.9y,unknown,no,no,no
management,married,university.degree,no,yes,no,no
admin.,married,basic.9y,no,no,no,no
blue-collar,married,unknown,unknown,no,no,no
technician,married,professional.course,no,no,no,yes
technician,married,basic.4y,unknown,no,yes,no
technician,married,basic.4y,unknown,no,no,no
blue-collar,married,basic.4y,no,no,yes,no
technician,married,basic.4y,unknown,no,no,no
student,single,basic.9y,unknown,yes,no,no
management,married,university.degree,no,no,no,no
admin.,married,university.degree,no,yes,no,no
technician,married,professional.course,no,yes,no,no
admin.,married,high.school,no,no,no,no
management,married,professional.course,unknown,yes,no,no
unemployed,single,basic.4y,no,yes,no,no
housemaid,married,basic.4y,no,no,no,no
blue-collar,married,basic.6y,no,no,yes,no
admin.,single,basic.9y,unknown,no,no,no
technician,divorced,high.school,no,no,no,no
self-employed,married,university.degree,no,yes,no,no
blue-collar,single,basic.9y,no,yes,no,no
services,married,high.school,no,no,no,no
admin.,married,high.school,no,yes,yes,no
management,married,basic.6y,unknown,no,no,no
management,married,professional.course,unknown,yes,no,no
admin.,married,basic.4y,no,yes,no,no
management,married,university.degree,no,no,no,yes
technician,single,professional.course,unknown,unknown,unknown,no
management,married,professional.course,no,yes,no,no
admin.,divorced,high.school,no,no,no,no
admin.,married,university.degree,unknown,yes,no,no
blue-collar,divorced,basic.4y,no,no,no,no
blue-collar,married,basic.9y,unknown,no,no,no
unknown,married,unknown,unknown,no,no,no
blue-collar,married,basic.4y,unknown,no,no,no
retired,married,university.degree,no,no,no,no
management,married,unknown,unknown,no,no,no
technician,single,high.school,unknown,no,yes,no
services,married,high.school,no,yes,no,no
retired,married,basic.4y,no,no,no,no
unknown,married,unknown,unknown,yes,no,no
management,married,basic.6y,unknown,yes,yes,no
admin.,married,university.degree,no,unknown,unknown,no
admin.,single,university.degree,unknown,no,no,no
technician,married,professional.course,no,yes,no,no
housemaid,married,professional.course,unknown,no,no,no
technician,married,unknown,no,yes,no,no
technician,married,university.degree,no,yes,no,no
unemployed,married,basic.9y,unknown,no,no,no
services,married,basic.9y,no,no,no,no
blue-collar,married,basic.9y,unknown,no,no,no
admin.,single,university.degree,unknown,unknown,unknown,no
services,married,high.school,unknown,unknown,unknown,no
technician,married,professional.course,no,yes,no,no
admin.,divorced,university.degree,unknown,yes,no,no
admin.,married,professional.course,no,yes,no,no
admin.,married,basic.6y,unknown,yes,no,no
entrepreneur,married,university.degree,unknown,no,no,no
admin.,married,basic.9y,no,unknown,unknown,no
admin.,married,basic.9y,no,no,no,no
services,divorced,high.school,unknown,yes,no,no
services,married,high.school,unknown,yes,no,yes
entrepreneur,married,university.degree,no,no,no,no
technician,single,university.degree,no,no,no,no
unknown,single,unknown,unknown,yes,no,no
technician,married,university.degree,no,yes,no,no
blue-collar,married,high.school,unknown,yes,no,no
blue-collar,married,basic.4y,no,no,no,no
entrepreneur,married,high.school,no,no,no,no
management,married,university.degree,no,yes,no,no
services,married,basic.9y,no,yes,yes,no
entrepreneur,married,high.school,no,yes,no,no
technician,married,unknown,unknown,yes,no,no
housemaid,single,basic.4y,unknown,yes,no,no
blue-collar,married,basic.4y,no,no,no,no
blue-collar,married,unknown,unknown,no,no,no
admin.,married,unknown,no,no,no,no
management,married,basic.9y,unknown,unknown,unknown,no
blue-collar,married,basic.9y,no,no,no,no
blue-collar,married,basic.6y,no,yes,no,no
blue-collar,married,basic.6y,no,no,no,no
admin.,married,high.school,no,no,no,no
admin.,single,unknown,unknown,yes,no,no
services,single,high.school,no,no,no,no
admin.,divorced,high.school,no,yes,yes,no
technician,divorced,university.degree,no,no,no,no
admin.,married,high.school,no,no,no,no
admin.,married,high.school,no,no,no,no
services,married,high.school,unknown,yes,yes,no
blue-collar,married,basic.6y,no,no,no,no
blue-collar,married,basic.9y,no,no,no,no
technician,married,high.school,no,no,no,no
services,married,high.school,unknown,no,no,no
admin.,single,high.school,no,yes,yes,no
blue-collar,single,basic.4y,unknown,no,no,no
admin.,single,basic.6y,unknown,no,no,no
self-employed,married,university.degree,no,no,no,no
self-employed,married,unknown,unknown,no,no,no
blue-collar,single,basic.9y,unknown,no,no,no
technician,married,professional.course,unknown,no,yes,no
entrepreneur,single,university.degree,no,yes,no,no
self-employed,single,high.school,no,yes,no,no
admin.,married,professional.course,no,yes,yes,no
admin.,married,university.degree,no,no,no,no
admin.,divorced,high.school,no,no,yes,no
admin.,single,university.degree,no,yes,yes,no
blue-collar,married,basic.4y,unknown,unknown,unknown,no
admin.,single,university.degree,no,no,no,no
blue-collar,married,basic.9y,unknown,no,no,no
entrepreneur,married,basic.6y,no,no,no,no
retired,married,university.degree,no,yes,no,no
blue-collar,married,basic.4y,unknown,no,no,no
technician,married,basic.4y,no,no,yes,no
blue-collar,married,high.school,no,no,yes,yes
technician,married,basic.4y,no,no,no,no
blue-collar,single,basic.4y,unknown,no,no,no
blue-collar,married,basic.6y,unknown,yes,yes,no
blue-collar,married,basic.4y,no,no,no,no
blue-collar,married,basic.6y,unknown,yes,no,no
blue-collar,married,basic.4y,no,yes,yes,no
admin.,married,university.degree,unknown,no,no,no
admin.,divorced,university.degree,no,unknown,unknown,no
admin.,married,basic.6y,no,yes,no,no
blue-collar,married,high.school,unknown,no,no,no
technician,married,unknown,no,no,no,no
admin.,single,university.degree,no,no,no,no
unemployed,married,university.degree,unknown,unknown,unknown,no
entrepreneur,married,professional.course,no,unknown,unknown,no
technician,married,professional.course,no,unknown,unknown,no
blue-collar,married,basic.9y,unknown,yes,no,no
retired,married,basic.4y,unknown,yes,yes,no
housemaid,married,high.school,no,no,no,no
admin.,married,high.school,no,no,no,no
admin.,divorced,high.school,no,no,no,no
services,married,high.school,unknown,no,yes,no
management,married,university.degree,no,no,no,no
blue-collar,married,unknown,no,no,no,no
management,married,university.degree,unknown,no,no,no
blue-collar,married,basic.4y,no,no,no,no
unknown,married,unknown,unknown,no,no,no
technician,single,professional.course,no,no,yes,no
unknown,married,unknown,unknown,no,no,no
admin.,single,university.degree,no,no,yes,no
management,married,university.degree,unknown,no,no,no
blue-collar,married,basic.4y,no,yes,no,no
blue-collar,married,basic.4y,unknown,no,no,no
blue-collar,married,basic.6y,unknown,no,no,no
technician,married,professional.course,no,no,no,no
technician,married,professional.course,no,yes,no,no
admin.,married,university.degree,no,no,no,no
services,single,high.school,no,unknown,unknown,no
management,married,university.degree,no,no,no,no
technician,married,professional.course,no,yes,no,no
technician,married,basic.9y,no,no,no,no
admin.,married,professional.course,no,yes,no,no
admin.,divorced,university.degree,unknown,yes,no,no
services,married,high.school,no,no,no,no
admin.,single,university.degree,no,yes,yes,no
blue-collar,married,basic.9y,no,no,no,no
blue-collar,married,basic.9y,no,no,no,no
services,married,high.school,unknown,no,no,no
admin.,single,university.degree,no,yes,no,no
admin.,single,university.degree,no,no,no,no
services,married,high.school,no,no,no,no
blue-collar,married,basic.4y,unknown,no,yes,no
blue-collar,married,basic.9y,unknown,no,no,no
services,married,high.school,no,no,no,no
blue-collar,married,basic.6y,no,yes,no,no
admin.,married,high.school,no,no,no,no
blue-collar,single,basic.4y,no,no,no,no
management,married,university.degree,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
technician,married,basic.6y,no,yes,no,no
services,married,high.school,unknown,no,no,no
blue-collar,married,basic.4y,no,no,no,no
technician,married,professional.course,no,yes,no,no
admin.,married,basic.9y,no,yes,no,no
admin.,divorced,university.degree,no,yes,yes,no
technician,married,professional.course,no,no,no,no
technician,married,professional.course,no,no,no,no
services,married,high.school,unknown,no,no,no
blue-collar,single,unknown,no,yes,yes,no
blue-collar,married,basic.9y,no,yes,no,no
technician,married,professional.course,no,no,no,no
services,single,basic.4y,no,no,no,no
admin.,married,unknown,unknown,yes,no,no
technician,married,professional.course,no,no,no,no
technician,married,university.degree,no,no,no,no
admin.,single,university.degree,no,no,no,no
services,married,basic.6y,no,no,no,no
management,single,basic.4y,no,no,no,no
management,married,university.degree,unknown,yes,no,no
technician,single,professional.course,no,yes,no,no
admin.,married,university.degree,no,yes,yes,no
admin.,single,university.degree,no,no,no,no
technician,married,unknown,unknown,yes,no,no
management,divorced,university.degree,no,yes,no,no
housemaid,married,basic.4y,unknown,unknown,unknown,no
admin.,married,high.school,no,yes,no,no
blue-collar,married,basic.4y,no,yes,no,no
retired,married,high.school,unknown,yes,no,no
technician,single,professional.course,no,no,no,no
management,single,university.degree,no,yes,no,no
housemaid,divorced,university.degree,no,no,no,no
blue-collar,married,high.school,no,no,no,no
technician,married,basic.9y,unknown,yes,no,no
blue-collar,married,high.school,no,no,no,no
housemaid,married,high.school,no,yes,no,no
housemaid,married,high.school,no,no,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
blue-collar,married,basic.9y,no,no,yes,no
blue-collar,divorced,unknown,unknown,yes,yes,no
services,married,high.school,no,no,no,no
services,married,basic.4y,no,no,no,no
management,married,university.degree,unknown,no,yes,no
management,divorced,university.degree,unknown,yes,no,no
self-employed,single,university.degree,no,no,no,no
retired,divorced,basic.4y,unknown,no,no,no
admin.,single,unknown,no,yes,no,no
services,married,high.school,no,no,yes,no
admin.,married,university.degree,no,unknown,unknown,no
blue-collar,married,basic.6y,unknown,yes,no,no
technician,married,basic.9y,no,no,yes,no
admin.,divorced,university.degree,no,yes,no,no
admin.,single,university.degree,no,no,no,no
blue-collar,married,basic.9y,no,yes,no,no
admin.,married,high.school,no,no,no,no
management,married,university.degree,unknown,no,no,no
services,single,high.school,unknown,yes,no,no
admin.,married,high.school,no,yes,no,no
admin.,married,high.school,no,no,yes,no
services,married,high.school,no,yes,no,no
